Reference, Value, Footprint, Datasheet, Digikey, Manufacturer, Manufacturer number, Mouser
Q1,BFP840FESD,chubut:TSFP-4-1,https://www.infineon.com/dgdl/Infineon-BFP840FESD-DS-v02_00-EN.pdf?fileId=5546d46265f064ff01663896c6294eb9,https://www.digikey.com/en/products/detail/infineon-technologies/BFP840FESDH6327XTSA1/3911480?s=N4IgTCBcDaIEIDEAKAOALABgQUQMoBEQBdAXyA,Infineon,BFP840FESD,
C2,3.3n,Capacitor_SMD:C_0402_1005Metric,https://ds.murata.co.jp/simsurfing/mlcc.html?partnumbers=%5B%22GRM033R71C332KA88%22%5D&oripartnumbers=%5B%22GRM033R71C332KA88D%22%5D&rgear=jomoqke&rgearinfo=ch,,Murata,GRM1555C1H332GE01D ,
C3,3.3n,Capacitor_SMD:C_0402_1005Metric,https://ds.murata.co.jp/simsurfing/mlcc.html?partnumbers=%5B%22GRM033R71C332KA88%22%5D&oripartnumbers=%5B%22GRM033R71C332KA88D%22%5D&rgear=jomoqke&rgearinfo=ch,,Murata,GRM1555C1H332GE01D ,
C4,3p,Capacitor_SMD:C_0402_1005Metric,~,https://www.digikey.ch/products/en?keywords=490-11211-1-ND,Murata,GJM1555C1H3R0WB01D,
R3,3k,Resistor_SMD:R_0402_1005Metric,https://www.vishay.com/docs/28758/tnpw_e3.pdf,https://www.digikey.ch/product-detail/en/vishay-dale/TNPW04023K00BEED/541-9842-1-ND/9659110,Vishay,TNPW04023K00BEED,
R2,500,Resistor_SMD:R_0402_1005Metric,https://www.vishay.com/docs/53014/ch.pdf,https://www.digikey.ch/product-detail/en/vishay-sfernice/CH0402-500RGFPA/716-1158-1-ND/9170236,Vishay,CH0402-500RGFPA,
C1,3.3n,Capacitor_SMD:C_0402_1005Metric,https://ds.murata.co.jp/simsurfing/mlcc.html?partnumbers=%5B%22GRM033R71C332KA88%22%5D&oripartnumbers=%5B%22GRM033R71C332KA88D%22%5D&rgear=jomoqke&rgearinfo=ch,,Murata,GRM1555C1H332GE01D ,
J5,OUTPUT,Connector_Coaxial:SMA_Amphenol_132289_EdgeMount,https://www.muellerelectric.com/product_files/786/DS-BU-1420701851.pdf,https://www.digikey.ch/product-detail/en/mueller-electric-co/BU-1420701851/314-1703-ND/9950117,Mueller Electric Co,BU-1420701851,
D1,"1SV307(TPH3,F)",Diode_SMD:D_SOD-323,https://toshiba.semicon-storage.com/info/docget.jsp?did=2834&prodName=1SV307,https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/1SV307-TPH3-F/4516315?s=N4IgTCBcDaIIwGUBqBmADAdgBQBUAKAEigDQBiAlCALoC%2BQA,Toshiba,"1SV307(TPH3,F)",
D2,"1SV307(TPH3,F)",Diode_SMD:D_SOD-323,https://toshiba.semicon-storage.com/info/docget.jsp?did=2834&prodName=1SV307,https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/1SV307-TPH3-F/4516315?s=N4IgTCBcDaIIwGUBqBmADAdgBQBUAKAEigDQBiAlCALoC%2BQA,Toshiba,"1SV307(TPH3,F)",
